54.14116,-1.225149,26.334760.01068669
54.92157,-4.646111,37.533040.007180182
61.18504,-4.713501,19.825970.07497266
59.28471,5.893683,48.435770.02170651
59.53181,-4.713502,20.199090.05535672
61.2781,-4.713502,20.232120.04675639
41.46726,-4.713504,41.340720.07220899
37.65744,-1.374462,43.519120.03285174
40.21928,0.120116,41.845090.06953186
24.6489,-2.408748,49.932150.04269603
43.21252,-4.713504,40.559930.07365671
10.41524,5.265648,53.360770.01220428
37.35939,-4.284676,43.452950.1751501
41.53623,-4.713504,41.239390.0923713
43.03265,-4.713503,40.457440.115012
37.48732,-4.190738,43.481350.1577117
72.62848,-0.6134405,1.8600180.05962372
63.49586,-4.713499,-12.560580.08695045
62.61646,-4.713498,-12.370720.06332713
59.74908,0.7999431,2.5979460.1629507
60.81045,-4.713499,-6.1258690.005339541
61.45789,1.347935,2.9699250.08253221
60.9231,-4.713497,-21.070110.07425849
60.42582,-4.713498,-20.881060.04606534
58.53838,-3.28843,-14.938710.2015017
53.98845,-4.713498,-18.555330.07110948
61.43842,-4.713498,-20.647510.02795205
58.0705,-4.713498,-19.780550.05259357
60.15388,-4.713498,-20.954960.04896496
55.8022,5.637148,-14.973290.002721864
59.34391,-4.713498,-20.452660.02280676
52.41841,0.1339209,-15.837370.01528356
63.66848,-4.713498,-10.73690.08978453
62.61314,-4.713498,-12.130170.07518426
61.36813,-4.713499,-10.407680.02567758
74.95093,-0.2813597,15.638590.03839793
62.83652,-4.713498,-12.056190.0825975
60.1235,-2.478245,-2.1481590.03488392
61.12583,10.35995,22.349450.04350463
71.12168,-1.603618,33.371950.007494652
63.83418,-4.713499,-11.377570.08110195
49.15454,-2.298562,47.341480.007447365
56.16251,-4.713503,31.101610.06125703
58.16953,5.137136,48.370950.01736435
59.40804,-4.713503,27.452790.02161681
55.40305,11.87929,47.843960.0183924
48.97528,1.592819,44.185090.01463618
50.85742,0.3673093,44.594950.0376387
58.0027,-4.713503,28.294790.01406499
49.5851,9.824499,46.758210.01813098
21.20714,-1.458667,48.819560.016283
19.81075,-0.2405791,48.509550.02326572
19.13606,-4.526912,48.359760.0311004
23.51789,-4.053593,49.332560.05769189
24.39933,-4.713505,46.820980.1278316
14.48303,5.637138,53.800650.002027892
22.65345,-4.226865,49.140650.07650261
24.2645,-4.713506,46.795780.185337
24.48431,-4.713506,46.452990.106653
20.56261,-3.4015,48.676460.05624013
69.47807,5.137138,25.888250.02930151
49.54255,5.137136,35.109050.1315613
67.37357,9.879091,23.736490.04062052
61.53231,-4.7135,8.8130320.007827018
58.10482,5.137138,23.316490.1338299
62.01696,-4.7135,6.6949830.02380856
62.83598,-4.713501,17.677240.0152371
62.68279,-4.7135,7.4756890.04211468
80.30225,-4.596712,43.540860.0004567741
62.6918,5.27546,24.030640.03988911
14.5788,5.637138,53.72180.01571721
20.76252,-1.172704,48.720850.0246521
18.286,-1.418381,48.171040.02109453
24.43569,-4.713505,46.593560.1678948
21.93317,-0.3071971,48.980740.02777263
