64.04778,-4.713501,12.035440.08000977
65.91879,-4.42362,14.177220.02933109
63.41038,-4.7135,11.586760.09226325
70.68977,1.170592,17.524080.07816976
74.03168,5.137138,19.503250.02792387
66.38787,-3.930344,14.462890.03177566
73.90935,10.33085,26.179370.01547467
63.18507,-4.713501,12.176030.109993
72.52307,10.33085,27.876460.01646605
67.91151,-3.554076,15.619110.006678337
26.26852,-4.7135,-5.2074260.03052655
-10.15876,0.1201183,2.4939671.979773E-06
53.4864,-4.713498,-16.068890.1559405
53.19066,-4.713498,-16.521940.2439665
44.23005,0.1201212,-13.870590.1174698
48.06436,-4.713499,-14.766480.1190387
53.75503,-4.713498,-17.151450.3686215
48.73218,-4.713498,-15.804290.1731837
50.93246,0.1201217,-16.333970.1682913
54.19715,-4.713499,-16.971510.5172568
62.06522,-4.713498,-14.043940.2595875
64.03191,-4.713499,-10.826280.1064415
69.62473,4.565771,-9.9256340.08735022
65.95043,5.137142,-11.319180.1976349
59.34389,-2.396004,-14.554150.2036287
69.16523,4.569818,-9.4622240.09009846
67.43069,-4.713499,-5.4982160.1667154
59.45536,-4.713498,-16.78910.2097061
61.19113,-4.713498,-15.803120.1992932
71.78339,-4.648557,-2.5311570.0156286
51.08778,0.2888596,34.018550.07734209
54.44961,0.1201155,47.807840.04459274
59.56532,-4.713502,25.463050.04734619
56.0458,-4.713502,28.43360.06736463
59.61221,-1.747214,36.263570.01850369
53.34225,10.02831,47.219260.005775812
45.76421,0.9629979,42.197810.0930514
60.22552,-4.713502,28.789460.04942016
60.20481,-4.713502,25.176460.09506804
51.55977,1.634085,-17.743160.0903715
58.04249,5.637148,-16.824150.002241329
51.49069,1.817661,-17.89640.05703614
51.54811,3.904714,-17.769040.003661039
58.26895,-4.713498,-20.79210.02456447
52.43713,0.74967,-15.796940.08269221
51.60513,0.6073201,-17.64060.1005718
63.84824,-4.713498,-22.571090.07226
62.56851,-4.713498,-22.405140.09898204
62.55795,-4.713498,-21.761470.06991898
58.0122,9.789005,22.135760.1084502
53.49554,-3.595252,48.305210.01494229
57.23476,-4.713501,18.274760.00444483
55.70107,5.137138,12.757730.2193515
61.30875,-4.7135,4.7389490.051487
58.12459,-3.809022,8.5479420.003245264
60.4351,-4.7135,9.8831560.005584477
60.79357,-4.7135,5.8395480.05994268
45.60965,0.2795551,42.870770.06421172
60.75056,-4.713502,20.894810.09990664
58.18611,-4.713503,27.379680.09503883
46.22683,8.659183,48.475680.07871988
53.74379,8.394997,50.136490.02913029
58.91688,-4.713502,22.766510.06392185
49.08424,5.767161,46.171050.03902429
59.85158,-4.713502,21.571930.1032135
66.61929,0.1201193,5.0684550.3468731
67.12915,0.8065906,3.2749820.151344
74.37317,0.1201208,13.03030.1765393
52.75689,7.46803,49.92540.0264806
61.25397,-4.7135,-0.31570240.003031369
64.64977,-4.713499,-0.67047210.05545144
59.15138,-2.410315,3.9229060.0007959082
51.93691,0.1771634,-16.904960.1705571
51.99863,0.2644994,-16.768140.164332
53.88789,-4.713498,-17.345170.4230875
53.89088,-4.713498,-17.968580.2507925
49.10789,-4.713499,-16.201620.2270884
44.49585,-2.069031,-9.7216040.06188741
10.47537,-2.998864,-0.55296330.001785827
51.06677,0.1201212,-16.430530.13991
55.03683,-4.713499,-18.13830.2126743
49.4094,-4.713498,-15.423710.3224823
15.80109,5.637138,55.459680.0320879
13.10617,5.637138,59.925358.729726E-05
26.88742,-3.892621,53.011590.00137794
27.85525,-4.713505,49.05310.0141569
12.42771,5.637138,57.305720.00398135
30.8377,-4.713505,45.463360.08097362
30.60058,-4.713505,46.073930.1096528
29.64079,-4.713505,46.296090.07390196
25.2515,-3.813327,63.341347.017579E-08
23.87853,-2.849719,53.402150.01734348
65.47517,0.5563996,3.6892150.1070837
66.19707,-4.7135,-2.1523840.09708624
72.91846,-0.2280684,33.770850.04639925
65.75854,0.2729962,3.7521220.1013178
60.13279,-4.235804,-2.5225880.01161983
57.28116,5.13714,3.6116810.1842286
65.17365,-4.7135,-5.5265330.0199538
60.85226,0.1419947,2.6628940.07220662
53.7693,-4.713503,32.859940.03284525
46.25447,5.137136,41.50050.10634
44.41571,9.824499,44.141240.08480452
53.77192,-4.713503,33.171180.05253548
46.43102,0.4516895,39.171030.2073137
56.03269,-4.713503,31.826820.07919834
39.19559,-4.014944,47.575170.02942483
55.25229,-4.713503,32.199910.06581822
47.20847,5.620168,45.923420.05817804
45.40653,10.95639,41.677890.04391497
50.4927,5.137137,34.892340.3591872
56.45736,-4.713502,27.151450.07806026
59.49886,-4.713502,22.983260.09889015
65.50246,1.715093,40.889660.05701073
60.2297,-4.713502,23.30870.06576405
60.94211,-4.713502,22.262890.05171877
42.31468,5.137136,47.274220.09084588
52.76158,-4.713503,36.523180.03895462
28.69017,-4.713505,46.404760.08019818
30.96283,-4.713505,46.443690.08682384
23.22321,-3.974745,49.267140.0526397
28.98501,-4.713505,46.680660.07071652
26.61566,-1.014219,55.554565.484168E-05
29.82987,-4.713505,45.987750.1024755
29.13783,-4.713505,48.105220.02000936
21.52689,5.637138,55.547161.399557E-07
16.76646,5.637138,56.116330.02329463
