AgentType;TaskName;Distance;Collisions;Collisions_Searching;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z;pos20x;pos20y;pos20z;pos21x;pos21y;pos21z;pos22x;pos22y;pos22z;pos23x;pos23y;pos23z;pos24x;pos24y;pos24z
Searcher;Searching;10.86205;0;0;2.525445;-3.539012;0.504697;-14.6666;-3.596592;0.5051203;-14.69916;-3.724278;0.5060592;-14.76932;-3.927335;0.516665;-14.87991;-4.236672;0.516665;-15.04755;-4.736056;0.516665;-15.31767;-5.331948;0.516665;-15.63962;-5.811676;0.516665;-15.89617;-6.282933;0.516665;-16.10237;-6.870743;0.516665;-16.24378;-7.395791;0.516665;-16.27788;-8.023039;0.516665;-16.30258;-8.595818;0.516665;-16.32512;-9.153784;0.516665;-16.34709;-9.807755;0.516665;-16.37283;-10.60836;0.516665;-16.40435;-11.25454;0.516665;-16.42978;-12.09661;0.516665;-16.46293;-12.71658;0.516665;-16.48734;-13.40816;0.516665;-16.51456;-14.02335;0.516665;-16.53878;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;9.690494;0;0;2.424531;-3.508767;0.5044746;-14.48657;-3.525689;0.504599;-14.41886;-3.570519;0.5049286;-14.27187;-3.659043;0.5055795;-14.02147;-3.816212;0.5067351;-13.6037;-4.0488;0.508658;-13.0498;-4.265991;0.5106063;-12.55102;-4.473018;0.5124618;-12.076;-4.719551;0.5146558;-11.51034;-4.928483;0.5162951;-11.02517;-5.173891;0.516665;-10.44824;-5.402881;0.516665;-9.923214;-5.634778;0.516665;-9.415246;-5.929307;0.516665;-8.851768;-6.381256;0.516665;-8.31364;-6.821087;0.516665;-8.3;-7.5;0.516665;-8.233334;-7.997562;0.516665;-8.264229;-8.610637;0.516665;-8.381006;-9.202188;0.516665;-8.509267;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;9.795586;0;0;2.325419;-3.514341;0.5045155;-14.64482;-3.578637;0.5049883;-14.67463;-3.735067;0.5061385;-14.74663;-4.023428;0.516665;-14.87518;-4.46334;0.516665;-15.082;-4.891259;0.516665;-15.3245;-5.326726;0.516665;-15.60282;-5.843871;0.516665;-15.93687;-6.300181;0.516665;-16.19361;-6.87531;0.516665;-16.39237;-7.432733;0.516665;-16.46675;-7.990787;0.516665;-16.48638;-8.644866;0.516665;-16.5092;-9.445602;0.516665;-16.53714;-10.09189;0.516665;-16.55969;-10.9341;0.516665;-16.58908;-11.55418;0.516665;-16.61071;-12.24587;0.516665;-16.63485;-12.86116;0.516665;-16.65631;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;8.551948;0;1;2.223615;-3.659066;0.5055797;-14.48638;-3.697929;0.5058655;-14.41011;-3.780734;0.5064743;-14.23441;-3.927631;0.5075544;-13.88277;-4.077877;0.5086592;-13.49731;-4.250137;0.5099258;-13.04574;-4.468553;0.5115318;-12.46864;-4.655612;0.5129072;-11.9743;-4.877775;0.5151525;-11.38719;-5.080646;0.516665;-10.85107;-5.27827;0.516665;-10.32881;-5.506943;0.516665;-9.716007;-5.790386;0.516665;-8.967691;-6.08815;0.516665;-8.467599;-6.574324;0.516665;-8.3;-7.008742;0.516665;-8.3;-7.560197;0.516665;-8.270163;-8.111191;0.516665;-8.3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;8.731869;0;0;2.124571;-3.501077;0.504418;-14.58685;-3.559324;0.5048463;-14.61953;-3.883791;0.5072321;-14.69157;-4.177454;0.516665;-14.80686;-4.515588;0.516665;-14.98417;-4.978262;0.516665;-15.28427;-5.39531;0.516665;-15.60706;-5.880312;0.5165192;-16.00092;-6.351668;0.516665;-16.28743;-6.847714;0.516665;-16.47104;-7.471879;0.516665;-16.57176;-8.272845;0.516665;-16.59207;-8.91933;0.516665;-16.60809;-9.761786;0.516665;-16.62895;-10.38206;0.516665;-16.64432;-11.07396;0.516665;-16.66146;-11.68944;0.516665;-16.6767;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;7.324065;0;2;1.904338;-3.55;0.5047777;-14.63;-3.623635;0.5053192;-14.44512;-3.683795;0.5057615;-14.29408;-3.795203;0.5065807;-14.01436;-3.927825;0.5075558;-13.68138;-4.126492;0.5090166;-13.18258;-4.338595;0.5105762;-12.65004;-4.545213;0.512246;-12.13127;-4.787382;0.514621;-11.52325;-5.08385;0.516665;-10.77889;-5.323136;0.516665;-10.17811;-5.603382;0.516665;-9.384649;-5.914907;0.516665;-8.864955;-6.337783;0.516665;-8.403106;-6.784467;0.516665;-8.3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;7.27444;0;4;1.828548;-3.55;0.5047777;-14.63;-3.660547;0.5055906;-14.76995;-3.757066;0.5073088;-14.82545;-3.968005;0.516665;-14.93986;-4.238507;0.516665;-15.08299;-4.659425;0.516665;-15.30238;-5.139968;0.516665;-15.55003;-5.636352;0.5166595;-15.80318;-6.230333;0.516665;-16.06653;-7.005741;0.516665;-16.26781;-7.63268;0.516665;-16.42639;-8.449688;0.516665;-16.63295;-9.051893;0.516665;-16.77912;-9.723016;0.516665;-16.94475;-10.31701;0.516665;-17.10365;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;6.671546;0;3;1.766335;-3.476092;0.5042343;-14.81556;-3.423026;0.5038441;-14.78782;-3.320226;0.5030882;-14.65921;-3.217829;0.5031866;-14.45046;-3.113104;0.5045842;-14.09268;-3.039597;0.5062888;-13.65632;-2.992388;0.507888;-13.13183;-2.948891;0.5096877;-12.4788;-2.895746;0.5118912;-11.67934;-2.852851;0.5136697;-11.03408;-2.796954;0.5160535;-10.19322;-2.755799;0.516665;-9.574132;-2.70989;0.516665;-8.883541;-2.663269;0.516665;-8.270408;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;6.540781;0;5;1.704687;-3.55;0.5047777;-14.63;-3.557848;0.5048354;-14.6103;-3.606962;0.5051966;-14.48698;-3.686225;0.5057794;-14.28798;-3.821519;0.5067742;-13.94829;-3.986457;0.507987;-13.53417;-4.183643;0.5094368;-13.03909;-4.425812;0.5112175;-12.43106;-4.72228;0.5139825;-11.68671;-4.961565;0.5161641;-11.08592;-5.273386;0.516665;-10.30302;-5.502967;0.516665;-9.7266;-5.752625;0.516665;-9.081999;-6.020607;0.516665;-8.577233;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Searcher;Searching;5.933667;0;4;1.612566;-3.57586;0.5049679;-14.7701;-3.643909;0.5054682;-14.8358;-3.75599;0.5062923;-14.77952;-3.91873;0.507489;-14.6118;-4.070755;0.5086068;-14.34717;-4.21686;0.5096811;-13.98743;-4.400697;0.5110329;-13.44423;-4.63191;0.5127329;-12.67709;-4.807307;0.5140226;-12.05995;-5.051418;0.5158176;-11.25337;-5.232629;0.516665;-10.65996;-5.432344;0.516665;-9.997639;-5.610892;0.516665;-9.40886;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
